company,title,location,job_url,description,posted_date,role_family,visa_notes
Tesla,Data Analyst,Austin / North Texas optional,https://careers.example.com/tesla/jobs/J0051,"We are seeking a Data Analyst to support Strong Texas sponsor evidence; DFW fit depends on role location.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-23,Cloud / Security / Data / AI / Analyst,"Strong Texas sponsor evidence; DFW fit depends on role location. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Tesla,Technology Risk Analyst,Austin / North Texas optional,https://careers.example.com/tesla/jobs/J0052,"Join our Technology Risk Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-24,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Hewlett Packard Enterprise,Cloud Analyst,Plano / Texas,https://careers.example.com/hewlett-packard-enterprise/jobs/J0053,"We are seeking a Cloud Analyst to support HPE’s cloud/infrastructure business aligns well with cloud/security profile.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-25,Cloud / Security / Data / AI / Analyst,"HPE’s cloud/infrastructure business aligns well with cloud/security profile. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Hewlett Packard Enterprise,Data Analyst,Plano / Texas,https://careers.example.com/hewlett-packard-enterprise/jobs/J0054,"Join our Data Analyst team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-26,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Dell Technologies / Dell USA / Dell Products,Data Engineer,Round Rock / Texas; DFW ecosystem,https://careers.example.com/dell-technologies---dell-usa---dell-prod/jobs/J0055,"We are seeking a Data Engineer to support Strong sponsor evidence and enterprise infrastructure alignment; DFW not always primary.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-27,Cloud / Security / Data / AI / Analyst,"Strong sponsor evidence and enterprise infrastructure alignment; DFW not always primary. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Dell Technologies / Dell USA / Dell Products,Data Engineer,Round Rock / Texas; DFW ecosystem,https://careers.example.com/dell-technologies---dell-usa---dell-prod/jobs/J0056,"Join our Data Engineer team driving risk management and operational data visibility. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-28,Cloud / Security / Data / AI / Analyst,"risk management and operational data visibility — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Texas Instruments,Cloud Analyst,Dallas / Richardson,https://careers.example.com/texas-instruments/jobs/J0057,"We are seeking a Cloud Analyst to support Semiconductor systems and manufacturing analytics fit data/security/IT paths.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-01,Cloud / Security / Data / AI / Analyst,"Semiconductor systems and manufacturing analytics fit data/security/IT paths. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Texas Instruments,AI Automation Analyst,Dallas / Richardson,https://careers.example.com/texas-instruments/jobs/J0058,"Join our AI Automation Analyst team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-02,Cloud / Security / Data / AI / Analyst,"technology risk controls and GRC evidence — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Texas Instruments,AI Automation Analyst,Dallas / Richardson,https://careers.example.com/texas-instruments/jobs/J0059,"The AI Automation Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-05-03,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
American Airlines,Cybersecurity Analyst,Fort Worth,https://careers.example.com/american-airlines/jobs/J0060,"We are seeking a Cybersecurity Analyst to support Airline operations require real-time data, security, cloud, and enterprise systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-06-04,Cloud / Security / Data / AI / Analyst,"Airline operations require real-time data, security, cloud, and enterprise systems. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
American Airlines,Business Systems Analyst,Fort Worth,https://careers.example.com/american-airlines/jobs/J0061,"Join our Business Systems Analyst team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-01-05,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
American Airlines,Security Engineer,Fort Worth,https://careers.example.com/american-airlines/jobs/J0062,"The Security Engineer role addresses AI-driven workflow productivity and controls across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-02-06,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Southwest Airlines,Technology Risk Analyst,Dallas,https://careers.example.com/southwest-airlines/jobs/J0063,"We are seeking a Technology Risk Analyst to support Airline modernization and operations analytics support matching roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-07,Cloud / Security / Data / AI / Analyst,"Airline modernization and operations analytics support matching roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Southwest Airlines,Security Engineer,Dallas,https://careers.example.com/southwest-airlines/jobs/J0064,"Join our Security Engineer team driving enterprise IAM and zero-trust implementation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-08,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Southwest Airlines,Cloud Security Analyst,Dallas,https://careers.example.com/southwest-airlines/jobs/J0065,"The Cloud Security Analyst role addresses cloud security monitoring and incident response across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-05-09,Cloud / Security / Data / AI / Analyst,"cloud security monitoring and incident response — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
McKesson,Data Analyst,Irving,https://careers.example.com/mckesson/jobs/J0066,"We are seeking a Data Analyst to support Healthcare supply chain and regulated systems create data, security, and compliance roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-06-10,Cloud / Security / Data / AI / Analyst,"Healthcare supply chain and regulated systems create data, security, and compliance roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
McKesson,Security Engineer,Irving,https://careers.example.com/mckesson/jobs/J0067,"Join our Security Engineer team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-01-11,Cloud / Security / Data / AI / Analyst,"technology risk controls and GRC evidence — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
McKesson,Cybersecurity Analyst,Irving,https://careers.example.com/mckesson/jobs/J0068,"The Cybersecurity Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-02-12,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
CBRE,Business Systems Analyst,Dallas,https://careers.example.com/cbre/jobs/J0069,"We are seeking a Business Systems Analyst to support PropTech and enterprise operations need analytics/platform/security support.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-13,Cloud / Security / Data / AI / Analyst,"PropTech and enterprise operations need analytics/platform/security support. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
CBRE,Operations Technology Analyst,Dallas,https://careers.example.com/cbre/jobs/J0070,"Join our Operations Technology Analyst team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-14,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Lockheed Martin,Cloud Security Analyst,Fort Worth / Grand Prairie,https://careers.example.com/lockheed-martin/jobs/J0071,"We are seeking a Cloud Security Analyst to support Strong DFW role base, but many roles require citizenship/clearance; filter aggressively.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-15,Cloud / Security / Data / AI / Analyst,"Strong DFW role base, but many roles require citizenship/clearance; filter aggressively. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Lockheed Martin,Business Systems Analyst,Fort Worth / Grand Prairie,https://careers.example.com/lockheed-martin/jobs/J0072,"Join our Business Systems Analyst team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-16,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Raytheon / RTX,Data Engineer,McKinney / Richardson,https://careers.example.com/raytheon---rtx/jobs/J0073,"We are seeking a Data Engineer to support DFW aerospace/defense systems roles exist, but citizenship restrictions can create noise.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-17,Cloud / Security / Data / AI / Analyst,"DFW aerospace/defense systems roles exist, but citizenship restrictions can create noise. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Raytheon / RTX,Technology Analyst,McKinney / Richardson,https://careers.example.com/raytheon---rtx/jobs/J0074,"Join our Technology Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-18,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
BNSF Railway,Platform Engineer,Fort Worth,https://careers.example.com/bnsf-railway/jobs/J0075,"We are seeking a Platform Engineer to support Logistics and rail operations need data, security, and enterprise systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-19,Cloud / Security / Data / AI / Analyst,"Logistics and rail operations need data, security, and enterprise systems. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
BNSF Railway,Business Systems Analyst,Fort Worth,https://careers.example.com/bnsf-railway/jobs/J0076,"Join our Business Systems Analyst team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-20,Cloud / Security / Data / AI / Analyst,"technology risk controls and GRC evidence — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
GM Financial,Cloud Analyst,Fort Worth,https://careers.example.com/gm-financial/jobs/J0077,"We are seeking a Cloud Analyst to support Financial services and auto lending drive risk, data, and platform roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-21,Cloud / Security / Data / AI / Analyst,"Financial services and auto lending drive risk, data, and platform roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
GM Financial,Platform Engineer,Fort Worth,https://careers.example.com/gm-financial/jobs/J0078,"Join our Platform Engineer team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-22,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Sabre,Cloud Security Analyst,Southlake,https://careers.example.com/sabre/jobs/J0079,"We are seeking a Cloud Security Analyst to support Travel platforms require software, cloud, data, and security talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-23,Cloud / Security / Data / AI / Analyst,"Travel platforms require software, cloud, data, and security talent. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Sabre,Technology Risk Analyst,Southlake,https://careers.example.com/sabre/jobs/J0080,"Join our Technology Risk Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-24,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Alkami Technology,Data Analyst,Plano,https://careers.example.com/alkami-technology/jobs/J0081,"We are seeking a Data Analyst to support SaaS financial platform needs engineering, cloud, and cybersecurity talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-25,Cloud / Security / Data / AI / Analyst,"SaaS financial platform needs engineering, cloud, and cybersecurity talent. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Alkami Technology,Technology Risk Analyst,Plano,https://careers.example.com/alkami-technology/jobs/J0082,"Join our Technology Risk Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-26,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Tyler Technologies,Data Analyst,Plano,https://careers.example.com/tyler-technologies/jobs/J0083,"We are seeking a Data Analyst to support GovTech software requires secure cloud systems and analytics.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-27,Cloud / Security / Data / AI / Analyst,"GovTech software requires secure cloud systems and analytics. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Tyler Technologies,Cybersecurity Analyst,Plano,https://careers.example.com/tyler-technologies/jobs/J0084,"Join our Cybersecurity Analyst team driving enterprise IAM and zero-trust implementation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-28,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
State Farm,Data Engineer,Richardson,https://careers.example.com/state-farm/jobs/J0085,"We are seeking a Data Engineer to support Insurance tech requires risk analytics, cloud, and security controls.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-01,Cloud / Security / Data / AI / Analyst,"Insurance tech requires risk analytics, cloud, and security controls. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
State Farm,Business Systems Analyst,Richardson,https://careers.example.com/state-farm/jobs/J0086,"Join our Business Systems Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-02,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Liberty Mutual,Data Engineer,Plano,https://careers.example.com/liberty-mutual/jobs/J0087,"We are seeking a Data Engineer to support Insurance platforms need analytics, security, and cloud modernization.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-03,Cloud / Security / Data / AI / Analyst,"Insurance platforms need analytics, security, and cloud modernization. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Liberty Mutual,Cloud Analyst,Plano,https://careers.example.com/liberty-mutual/jobs/J0088,"Join our Cloud Analyst team driving enterprise IAM and zero-trust implementation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-04,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
PepsiCo / Frito-Lay,Data Engineer,Plano,https://careers.example.com/pepsico---frito-lay/jobs/J0089,"We are seeking a Data Engineer to support Large CPG operations create data and supply-chain technology needs.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-05,Cloud / Security / Data / AI / Analyst,"Large CPG operations create data and supply-chain technology needs. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
PepsiCo / Frito-Lay,Security Engineer,Plano,https://careers.example.com/pepsico---frito-lay/jobs/J0090,"Join our Security Engineer team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-06,Cloud / Security / Data / AI / Analyst,"technology risk controls and GRC evidence — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Wells Fargo,Data Engineer,Irving / Dallas,https://careers.example.com/wells-fargo/jobs/J0091,"We are seeking a Data Engineer to support Banking compliance, risk, and modernization create relevant roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-07,Cloud / Security / Data / AI / Analyst,"Banking compliance, risk, and modernization create relevant roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Wells Fargo,AI Automation Analyst,Irving / Dallas,https://careers.example.com/wells-fargo/jobs/J0092,"Join our AI Automation Analyst team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-08,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Morgan Stanley,Data Analyst,Dallas,https://careers.example.com/morgan-stanley/jobs/J0093,"We are seeking a Data Analyst to support Dallas regional expansion implies future hiring; active roles must be checked.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-09,Cloud / Security / Data / AI / Analyst,"Dallas regional expansion implies future hiring; active roles must be checked. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Morgan Stanley,Platform Engineer,Dallas,https://careers.example.com/morgan-stanley/jobs/J0094,"Join our Platform Engineer team driving cloud security monitoring and incident response. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-04-10,Cloud / Security / Data / AI / Analyst,"cloud security monitoring and incident response — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Nasdaq,Cybersecurity Analyst,Dallas,https://careers.example.com/nasdaq/jobs/J0095,"We are seeking a Cybersecurity Analyst to support Dallas finance exchange expansion creates tech/data/business operations angles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-05-11,Cloud / Security / Data / AI / Analyst,"Dallas finance exchange expansion creates tech/data/business operations angles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Nasdaq,Technology Risk Analyst,Dallas,https://careers.example.com/nasdaq/jobs/J0096,"Join our Technology Risk Analyst team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-06-12,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
NYSE Texas / Intercontinental Exchange,Cloud Security Analyst,Dallas,https://careers.example.com/nyse-texas---intercontinental-exchange/jobs/J0097,"We are seeking a Cloud Security Analyst to support New Dallas exchange presence creates networking opportunity before roles mature.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-13,Cloud / Security / Data / AI / Analyst,"New Dallas exchange presence creates networking opportunity before roles mature. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
NYSE Texas / Intercontinental Exchange,Technology Analyst,Dallas,https://careers.example.com/nyse-texas---intercontinental-exchange/jobs/J0098,"Join our Technology Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-14,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Siemens Industry Software,Data Analyst,Plano / Texas,https://careers.example.com/siemens-industry-software/jobs/J0099,"We are seeking a Data Analyst to support Industrial software and digital twin platforms create strong tech roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-03-15,Cloud / Security / Data / AI / Analyst,"Industrial software and digital twin platforms create strong tech roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
