card_id,job_id,company_id,company_name,job_title,person_id,person_name,contact_type,pipeline_stage,priority_score,fit_score,company_priority_score,sponsorship_score,proof_score,people_verification_score,urgency_score,recommendation_action,next_action,proof_asset_id,proof_asset_title,follow_up_date,last_updated,data_confidence,blocked_reason,notes
PC-J0040,J0040,C015,Cognizant,Cloud Analyst,,TBD,recruiter,Person Verification,70.3,72.2,64.8,73.0,100,15.0,82.2,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0055,J0055,C022,American Airlines,Security Engineer,P027,TBD Hiring Manager,hiring_manager,Person Verification,70.3,72.2,64.8,73.0,100,15.0,82.2,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0045,J0045,C017,Oracle,Platform Engineer,P024,TBD Hiring Manager,hiring_manager,Person Verification,70.2,78.6,51.8,73.0,100,15.0,88.6,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0049,J0049,C019,Hewlett Packard Enterprise,Data Analyst,,TBD,recruiter,Person Verification,70.2,78.6,51.8,73.0,100,15.0,88.6,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0098,J0098,C043,UT Southwestern Medical Center,Data Analyst,,TBD,recruiter,Person Verification,70.0,78.6,50.5,73.0,100,15.0,88.6,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0025,J0025,C009,Ericsson,Cybersecurity Analyst,,TBD,recruiter,Person Verification,69.8,70.9,64.8,73.0,100,15.0,80.9,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0006,J0006,C002,Goldman Sachs,Operations Technology Analyst,,TBD,recruiter,Research Needed,69.4,66.4,75.2,86.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,,Moderate fit — validate sponsorship and team before applying.
PC-J0030,J0030,C011,Samsung Electronics America / Samsung Austin Semiconductor,Operations Technology Analyst,,TBD,recruiter,Person Verification,69.3,69.7,64.8,73.0,100,15.0,79.7,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0063,J0063,C025,CBRE,Operations Technology Analyst,,TBD,recruiter,Person Verification,69.0,78.6,51.8,65.0,100,15.0,88.6,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0035,J0035,C013,Deloitte,Data Analyst,P021,TBD Hiring Manager,hiring_manager,Person Verification,68.8,69.7,62.2,73.0,100,15.0,79.7,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0003,J0003,C001,JPMorgan Chase,Cloud Security Analyst,P002,TBD Hiring Manager,hiring_manager,Research Needed,67.4,66.4,75.2,73.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA004,Secure Cloud Evidence Lab,,2026-07-04,source_backed,,Moderate fit — validate sponsorship and team before applying.
PC-J0058,J0058,C023,Southwest Airlines,Cloud Security Analyst,,TBD,recruiter,Research Needed,66.2,66.4,75.2,65.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,,Moderate fit — validate sponsorship and team before applying.
PC-J0014,J0014,C005,Charles Schwab,Data Analyst,,TBD,recruiter,Research Needed,65.3,66.4,64.8,73.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,,Moderate fit — validate sponsorship and team before applying.
PC-J0033,J0033,C012,KPMG,Business Systems Analyst,,TBD,recruiter,Research Needed,65.3,66.4,64.8,73.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA002,Career Intelligence OS Case Study,,2026-07-04,stale,,Moderate fit — validate sponsorship and team before applying.
PC-J0043,J0043,C016,Infosys,Platform Engineer,,TBD,recruiter,Research Needed,65.3,66.4,64.8,73.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,,Moderate fit — validate sponsorship and team before applying.
PC-J0017,J0017,C006,Capital One,Technology Risk Analyst,P009,TBD Hiring Manager,hiring_manager,Research Needed,64.1,66.4,64.8,65.0,100,15.0,50,research more,Complete company 360 research and add research_sources,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,,Moderate fit — validate sponsorship and team before applying.
